Pulse,CMi1,CMi2,CMi3,CMi4,CMi5,CMi6,CMi7,CMi8,CMi9,CMi10,CMi11,CMi12,CMi13,CMi14,CMi15,CMi16,CMi17,CMi18,CMi19,CMi20,CMi21,CMi22,CM1,CM2,CM3,CM4,CM5,CM6,CM7,CM8,CM9,CM10,CM11,CM12,CM13,CM14,CM15,CM16,CM17,CM18,CM19,CM20,CM21,CM22,CM23,CM24,CM25,CM26,CM27,CM28,CM29,CM30,CM31,CM32,CM33,CM34,CM35,CM36,CM37,CM38,CM39,CM40,CM41,CM42,CM43,CM44,CM45,CM46,CM47,CM48,CM49,CM50,CM51,CM52,CM53,CM54,CM55,CM56,CM57,CM58,CM59,CM60,CM61,CM62,CM63,CM64,CM65,CM66,CM67,CM68,CM69
12,107.2222222,102.2340023,96.79572764,102.4246129,101.2367946,106.6746126,107.3700151,105.1064754,105.6739631,103.664325,101.8388792,105.0177096,104.7747434,102.623955,101.4230107,105.3685897,101.0628875,107.4074074,101.4285714,101.0309278,100.844773,108.3208396,104.0250098,101.6727273,108.9208007,103.178991,103.0035336,104.0273862,103.9468542,103.7269517,102.0953379,102.283105,101.3226744,100.3893215,101.6533066,105.075337,102.4084778,101.1904762,101.0067114,101.674938,101.2587413,101.1222682,101.6047297,104.8888889,102.3089172,99.75600864,101.081303,101.3097489,102.2206304,100.9921314,101.1351909,101.7220503,101.0405054,101.2052593,102.6143791,101.1756238,103.2075472,102.2033898,102.9638183,102.9032258,102.3987327,99.86816084,101.641791,101.1197917,101.2060829,101.3305382,102.0600609,103.0210989,103.6163522,101.0827586,100.5176768,101.7608696,101.4197531,102.7387486,104.5613292,103.7914692,102.994012,103.0371204,101.1503698,101.8567639,104.4172932,102.681388,102.2727273,101.4695077,104.4504383,101.6521739,100.4608295,102.5613079,101.7476789,102.7183343,105.0273224
13,107.7124183,102.3475956,97.19626168,102.8117359,101.8036589,107.1513707,107.6728925,105.6497175,105.9907834,104.2022657,102.1891419,105.3719008,105.6401113,103.0047182,101.6686874,105.6045228,101.4171833,108.1908832,101.8815331,101.3254786,101.2143611,108.9205397,104.6893318,102.1818182,109.3124456,103.593642,103.4010601,104.4703987,104.4548652,104.0408003,102.4096386,102.4543379,101.5116279,100.4727475,101.8036072,105.4321967,102.6011561,101.4030612,101.0738255,101.7990074,101.3986014,101.2404017,101.7736486,105.1851852,102.5477707,99.85416608,101.2181768,101.4447745,102.5549188,101.1118714,101.2837977,101.9911207,101.0962467,101.3878744,102.8011204,101.2955854,103.5849057,102.5141243,103.3487298,103.655914,102.6250283,99.86816084,101.8656716,101.3541667,101.363398,101.4054077,102.277673,103.0295637,103.7997904,101.1034483,100.6502525,101.8423913,101.4814815,103.0159166,105.4873532,104.2654028,103.2335329,103.1496063,101.3147083,102.1220159,104.9342105,102.7602524,102.7272727,101.6899339,104.9898854,102.2608696,100.5266623,103.0517711,102.0207537,103.0075188,105.4098361
14,108.0718954,102.6505112,97.42990654,103.2396088,102.1386241,107.6281287,108.2786471,106.2146893,106.1635945,104.835137,102.4810274,105.7260921,106.0727953,103.360649,101.9143641,105.7224893,101.5057573,108.6894587,102.0905923,101.6494845,101.3727561,109.3703148,105.1973427,102.0363636,109.7040905,104.008293,103.754417,104.9939589,104.8456428,104.5115732,102.5667889,102.6826484,101.7296512,100.5561735,102.004008,105.7890563,102.6974952,101.5093537,101.2751678,101.9851117,101.6783217,101.4176019,101.9130068,105.3333333,102.8264331,99.9032448,101.3550506,101.6068053,102.7698185,101.3342456,101.4571723,102.1525629,101.2634708,101.4974434,103.1279178,101.3915547,103.7735849,102.6694915,103.6053374,103.7634409,102.9078977,100,102.0895522,101.4583333,101.5469324,101.4428425,102.8942405,103.0337961,103.8915094,102.6206897,100.7165404,101.923913,101.6049383,103.2930845,105.9503651,104.7393365,103.3532934,103.3745782,101.6433854,102.3872679,105.1926692,103.2334385,102.8030303,101.9838354,105.4619016,101.9130435,100.6583278,103.4332425,102.2938285,103.1231926,105.7377049
15,108.3660131,102.7641045,97.79706275,103.5859821,102.31899,108.0154946,108.8844018,106.9534985,106.3940092,105.1515727,102.772913,105.9917355,106.2891372,103.712441,102.1696127,105.7814726,101.7271922,109.2592593,102.3344948,101.9734904,101.6895459,110.0449775,105.8225869,102.4727273,110.1392515,104.561161,104.2402827,105.3966975,105.2754982,104.8646528,104.5573599,102.891933,101.9331395,100.6674082,102.2044088,106.185567,103.0828516,101.6156463,101.4765101,102.1712159,101.8181818,101.506202,102.0523649,105.4814815,102.9657643,99.95232353,101.5056118,101.7688361,103.104107,101.4454328,101.630547,102.3140051,101.4121145,101.6617969,103.3146592,101.487524,104.245283,102.7471751,103.958173,104.0860215,103.1341933,100.5273566,102.3134328,101.4583333,101.6386995,101.4615599,103.2025243,103.0359123,103.937369,103.3793103,100.7496843,102.1413043,101.7283951,103.6772777,106.1818711,104.9763033,103.5928144,103.5995501,101.8898932,102.3872679,105.3218985,103.2334385,103.1818182,102.1307862,106.0013486,102,101.1191573,103.8692098,102.5669033,103.3545402,106.284153
16,108.7254902,103.0670201,98.06408545,103.9323553,102.8343211,108.4028605,109.4901565,107.3011734,106.6820276,105.4680084,103.0939872,106.257379,106.3973082,104.0642331,102.4695297,105.8109642,101.9486271,109.4729345,102.4041812,102.2680412,101.9535375,110.6446777,106.4869089,102.6181818,110.6614447,105.0449205,104.6378092,105.9202578,105.8225869,105.2569635,104.924044,103.0631659,102.1511628,100.7230256,102.50501,106.740682,103.1791908,101.9982993,101.4765101,102.2332506,102.0512821,101.5948021,102.4493243,106.0740741,103.1050955,99.95793252,101.656173,101.8768566,103.4383954,101.5566199,102.1589267,102.569622,101.5607581,101.807889,103.6881419,101.6314779,104.5283019,102.7860169,104.3110085,104.1935484,103.3039149,100.2636783,102.3880597,101.71875,101.7304667,101.4709185,103.3566662,103.0369704,103.9602987,103.7586207,100.7662563,103.173913,102.1604938,104.0614709,106.2976241,105.0947867,103.9520958,103.9370079,102.2185703,102.6525199,105.4511278,103.6277603,103.3333333,102.4246877,106.4059339,102.0869565,101.1191573,104.2506812,102.7853632,103.6437247,106.5027322
17,108.9869281,102.9912912,98.39786382,104.4417278,103.2208194,108.9988081,109.994952,107.6923077,106.9700461,106.0375926,103.3566842,106.4344746,106.4513937,104.3704991,102.7088252,105.8404558,101.9486271,110.042735,102.71777,102.5920471,102.1647307,110.8695652,107.0730754,102.7636364,111.1401218,105.390463,105.0353357,106.3632702,106.1742868,105.531581,105.2907281,103.3105023,102.3982558,100.7786429,102.7054108,106.9785884,103.2755299,102.1896259,101.6107383,102.3573201,102.1911422,101.8310691,102.6182432,106.3703704,103.3041401,99.96354152,101.9025459,102.0928977,103.7965616,101.6763599,101.993808,102.8252388,101.7744333,101.953981,104.0616246,102.0153551,104.8113208,102.8248588,104.631768,104.4086022,103.6433582,101.8457482,102.5373134,101.71875,101.6780283,101.4802772,103.4337371,103.0374994,103.9717636,103.9482759,100.7745423,103.6902174,102.3765432,104.3907794,106.4133771,105.3317536,104.0718563,104.1619798,102.3829088,103.1830239,105.8270677,103.785489,103.5606061,102.6451139,106.8105192,101.9130435,101.3166557,104.5776567,103.1676679,103.9329092,106.8852459
18,109.4117647,103.1806134,98.8317757,104.7881011,103.5042515,109.386174,110.4997476,108.2138201,107.2868664,106.5438896,103.6777583,106.8181818,106.4784365,104.6767652,102.9481207,106.3390313,102.3029229,110.4700855,103.0313589,102.916053,102.4815206,111.3943028,107.5420086,102.9090909,111.5752829,105.943331,105.4770318,106.8465566,106.4869089,105.9042762,105.7621792,103.5197869,102.630814,100.8898776,102.9058116,107.4147502,103.371869,102.2852891,101.7449664,102.5434243,102.4009324,102.0082693,102.7871622,106.6666667,103.5031847,100.1654654,102.0804818,102.2886849,104.0353391,103.7461512,102.2002064,103.0404951,101.8812709,102.1183346,104.3417367,102.2072937,105.1886792,102.9378531,104.7600719,104.7311828,103.8130799,102.6367831,102.8358209,101.9270833,101.9926586,101.9936682,103.5108081,103.0377639,103.9774961,104.0431034,100.7828283,103.9483696,102.4845679,104.5554336,106.572124,105.5687204,104.3113772,104.3869516,102.7937551,103.1830239,106.0150376,104.022082,103.8636364,102.6451139,107.2825354,101.826087,101.4483213,105.013624,103.5499727,104.1642568,107.2131148
19,109.8039216,103.9757668,99.03204272,105.195599,103.9422829,109.7735399,110.8783443,108.6049544,107.6036866,106.8919689,104.028021,107.201889,106.4919578,104.9830312,103.2288941,106.6595442,102.6572188,110.8974359,103.4494774,103.1516937,102.6927138,111.7691154,108.0109418,103.1272727,111.9234117,106.4270905,105.8303887,107.2090213,106.9558421,106.2769714,106.1812467,103.7861492,102.9360465,101.0011123,103.2064128,107.850912,103.6608863,102.3809524,101.8120805,102.7295285,102.6107226,102.1854696,103.0405405,106.8148148,103.7022293,100.2664273,102.3131673,102.484472,104.3457498,104.7810469,102.4066047,103.2826584,101.9881085,102.1183346,104.5751634,102.303263,105.4716981,103.220339,105.369515,104.8387097,103.9828015,103.0323006,103.1343284,102.0833333,102.3072889,102.5498417,103.5833454,103.0378962,103.9803623,104.0905172,101.9065657,104.0774457,102.5385802,104.7200878,107.3658588,105.8056872,104.6706587,104.6119235,103.1224322,103.4482759,106.2030075,104.022082,104.0909091,102.7920647,107.7545516,101.9130435,101.6458196,105.2861035,103.9322774,104.3377675,107.5409836
20,110.0653595,103.7485801,99.33244326,105.4604727,104.1484154,110.0715137,111.2569409,108.9526293,107.9493088,107.6197709,104.2615295,107.70366,106.5054792,105.3141296,103.4713803,106.980057,102.7457927,111.4672365,103.5888502,103.5051546,102.8511088,112.2938531,108.479875,103.2,112.2280244,106.91085,106.1837456,107.61176,107.3466198,106.6692821,106.4955474,103.9954338,103.1831395,101.0567297,103.507014,108.2474227,103.9499037,102.6360544,101.8791946,102.9466501,102.8438228,102.5694034,103.2939189,107.4074074,103.8017516,100.3673893,102.5732275,102.6870105,104.6322827,105.2984947,102.6542828,103.5248217,102.1832033,102.4653031,104.8085901,102.3512476,105.754717,103.3615819,105.6742366,105.1612903,104.1525232,103.4278181,103.358209,102.1875,102.4121657,102.8279285,103.6558828,103.0379623,103.9817954,104.1142241,102.4684343,104.1419837,102.5925926,105.104281,107.7627262,106.1611374,104.7904192,104.9493813,103.4511093,103.7135279,106.7669173,104.022082,104.3939394,103.1594416,108.091706,102.6956522,101.9091508,105.7220708,104.2599672,104.626952,108.4699454
21,110.3267974,103.9000379,99.69959947,105.9290954,104.4318475,110.488677,111.5093387,109.3003042,108.4101382,108.3475729,104.5534151,107.9545455,107.4708645,105.6038407,103.7266288,107.5498575,103.0115146,111.7521368,103.728223,103.8586156,103.4846885,112.8185907,108.8706526,103.3454545,112.5326371,107.325501,106.5812721,107.9742247,107.6983197,107.0223617,106.8622315,104.261796,103.4883721,101.1123471,103.7074148,108.5646312,104.0462428,102.7210884,102.0134228,103.1637717,103.0769231,102.7613703,103.5472973,107.8518519,103.9012739,100.4515242,102.8332877,102.9233054,104.9188157,105.5572186,102.8524252,103.7535315,102.378298,102.6661797,105.1820728,102.3752399,106.0377358,103.5028249,105.9789582,105.2688172,104.2939579,102.5708635,103.358209,102.34375,102.6219192,102.9669718,104.308719,103.0380285,103.982512,104.1260776,102.7493687,104.1742527,102.8395062,105.5982437,107.9611599,106.1611374,105.1497006,105.1743532,103.7797864,103.9787798,107.3308271,104.6529968,104.5454545,103.3798677,108.4288604,103.3913043,102.0408163,106.1580381,104.587657,104.8582996,108.3606557
22,110.6862745,104.0893601,100,106.3569682,104.8441123,110.9058403,111.7617365,109.5827901,108.5397465,108.9329789,104.8453006,108.2054309,107.9535571,105.9597715,103.9818774,107.9059829,103.2329495,112.1082621,104.0418118,104.0353461,103.6958817,113.0434783,109.2614302,103.5636364,112.8372498,107.740152,106.934629,108.4575111,108.1281751,107.2969792,107.2289157,104.56621,103.7645349,101.2235818,103.9078156,108.8025377,104.238921,103.1462585,102.147651,103.3808933,103.4032634,102.8573538,103.8851351,108,104.1003185,100.5356592,103.1207227,103.1596003,105.2292264,105.6865806,103.1166151,103.9822414,102.6755853,102.8670562,105.4154995,102.3992322,106.2264151,103.7288136,106.3638696,105.483871,104.4353926,102.1423863,103.5820896,102.3958333,102.8316728,103.0364935,104.6351371,103.7284895,103.9828702,104.1320043,102.8898359,104.1903872,103.0555556,105.845225,108.0603768,106.5165877,105.3892216,105.3993251,104.1084634,104.2440318,107.1428571,104.8107256,104.7727273,103.7472447,108.8334457,103.6521739,102.2383147,106.3760218,104.8607318,105.0896472,108.5245902
23,111.0457516,104.2029534,100.3337784,106.6829666,105.1017779,111.0846246,112.1655729,109.865276,108.6693548,109.2256819,105.1663748,108.5596222,108.1949035,106.2412052,104.2435071,108.1908832,103.4543844,112.6068376,104.3379791,104.3004418,103.9598733,113.3433283,109.6912857,103.7090909,113.1418625,108.154803,107.2879859,108.779702,108.4407972,107.6108278,107.7003667,104.8325723,104.0116279,101.4460512,104.1082164,109.2386994,104.4315992,103.2738095,102.2818792,103.5980149,103.6363636,102.9533373,104.222973,107.8518519,104.2993631,100.6141852,103.3670955,103.7267081,105.4918816,105.7512615,103.4138287,104.1974976,102.8799703,103.1227173,105.6956116,102.4472169,106.8396226,103.7853107,106.4921735,105.6989247,104.8314098,101.713909,103.880597,102.4479167,103.0414263,103.0712544,104.7983461,104.07372,103.9832285,104.1349677,102.9600694,104.1984545,103.1635802,106.0922064,108.1595936,106.6350711,105.6287425,105.624297,104.4371405,104.2440318,107.518797,105.126183,105.1515152,103.8941954,109.238031,103.826087,102.5016458,106.7574932,105.1884216,105.4366686,108.9617486
24,111.3071895,104.0514956,100.7009346,107.0293399,105.4367431,111.5017878,112.5189298,110.2564103,108.9717742,109.5183849,105.4582604,108.7367178,108.3155766,106.5226389,104.4349435,108.4045584,103.6315323,113.1054131,104.6341463,104.5655376,104.1710665,113.7181409,110.0820633,103.8545455,113.4464752,108.6385625,107.729682,109.6657269,108.9097304,107.9246763,108.1194343,105.1179604,104.3168605,101.5572859,104.2084168,109.6748612,104.8169557,103.4013605,102.5503356,103.7220844,103.8694639,103.1896043,104.5608108,108.2962963,104.5382166,100.7263651,103.6955927,104.0102619,105.8022923,105.783602,103.3973168,104.3589399,103.0843553,103.3235939,106.022409,102.4952015,107.1462264,103.8418079,106.6204773,105.9139785,105.1708531,101.3513514,104.1044776,102.6041667,103.1987415,103.0886348,104.8799507,104.2463352,103.9832285,104.1364494,102.9951862,104.2024881,103.2716049,106.4763996,108.9268706,106.7535545,105.988024,105.9617548,104.7658176,104.5092838,107.7067669,105.126183,105.2272727,104.0411462,109.3728928,104.0869565,102.764977,107.1389646,105.6253413,105.6101793,109.1803279
25,111.6013072,104.2786823,100.9345794,107.4572127,105.7717083,111.7997616,112.8722867,110.6692742,109.2741935,109.9930384,105.7501459,108.9138135,108.3759132,106.8040725,104.7157169,108.974359,103.8086802,113.3903134,104.7038328,104.8600884,104.3294615,114.2428786,110.472841,104,113.7510879,108.984105,107.9946996,109.9879178,109.2614302,108.2385249,108.4861184,105.4033486,104.6511628,101.6685206,104.3086172,109.9524187,105.2023121,103.4438776,102.6845638,103.8771712,104.1025641,103.6030715,104.7297297,108.5925926,104.6974522,100.838545,104.0240898,104.1520389,106.0410697,105.7997723,103.5128999,104.5741962,103.3630621,103.5975164,106.302521,103.1429942,107.2995283,104.0677966,107.1978445,106.1290323,105.4537226,100.9887937,104.1791045,102.8125,103.4609334,103.1060152,104.9615552,104.3326429,104.2976939,104.1371902,103.0127446,104.2065217,103.8580247,106.8605928,109.310509,106.9905213,106.3473054,106.2992126,105.0944947,104.7745358,107.8947368,105.126183,105.6818182,104.2615724,109.844909,103.826087,102.9624753,107.4114441,105.8984162,105.8415269,109.3989071
